时间,天气,温度,风向,风级
15日23时,中雨,26℃,东南风,<3级
16日02时,暴雨,26℃,东风,<3级
16日05时,暴雨,26℃,东南风,<3级
16日08时,中雨,27℃,东南风,<3级
16日11时,小雨,30℃,北风,<3级
16日14时,小雨,29℃,北风,<3级
16日17时,小雨,27℃,东风,<3级
16日20时,中雨,25℃,东风,<3级
16日23时,多云,26℃,东风,<3级
17日02时,小雨,26℃,东南风,<3级
17日05时,多云,27℃,东南风,<3级
17日08时,小雨,27℃,东南风,<3级
17日11时,小雨,30℃,东南风,<3级
17日14时,中雨,29℃,东风,<3级
17日17时,小雨,28℃,东风,<3级
17日20时,多云,26℃,东南风,<3级
17日23时,多云,27℃,东风,<3级
18日02时,多云,26℃,东风,<3级
18日05时,多云,26℃,东风,<3级
18日08时,多云,28℃,东南风,<3级
18日11时,小雨,31℃,东风,<3级
18日14时,小雨,32℃,东北风,<3级
18日17时,小雨,30℃,东风,<3级
18日20时,小雨,29℃,东南风,<3级
18日23时,多云,27℃,东北风,<3级
19日02时,阴,26℃,东风,<3级
19日05时,阴,26℃,东北风,<3级
19日08时,小雨,30℃,东南风,<3级
19日11时,多云,32℃,东北风,3-4级
19日14时,中雨,30℃,东风,<3级
19日17时,多云,30℃,东北风,3-4级
19日20时,中雨,29℃,东北风,<3级
19日23时,阴,27℃,东风,3-4级
20日02时,中雨,27℃,东北风,<3级
20日05时,中雨,26℃,东南风,3-4级
20日08时,阴,27℃,东南风,<3级
20日11时,大雨,27℃,东风,<3级
20日14时,中雨,30℃,东北风,<3级
20日17时,中雨,28℃,东南风,<3级
20日20时,小雨,28℃,东风,<3级
20日23时,小雨,26℃,东风,<3级
21日02时,阴,27℃,东南风,<3级
21日05时,小雨,26℃,东南风,<3级
21日08时,阴,29℃,南风,<3级
21日11时,小雨,30℃,西南风,<3级
21日14时,大雨,29℃,东南风,<3级
21日17时,中雨,28℃,西南风,<3级
21日20时,中雨,29℃,南风,<3级
21日23时,小雨,27℃,南风,<3级
22日02时,多云,28℃,南风,<3级
22日05时,阴,27℃,南风,<3级
22日08时,多云,29℃,南风,<3级
22日11时,小雨,31℃,西南风,<3级
22日14时,阴,32℃,西风,<3级
22日17时,小雨,29℃,西南风,<3级
22日20时,小雨,28℃,东风,<3级
22日23时,小雨,28℃,西南风,<3级
23日02时,阴,27℃,南风,<3级
23日05时,小雨,27℃,西南风,<3级
23日08时,阴,29℃,南风,3-4级
23日11时,中雨,31℃,西南风,<3级
23日14时,多云,33℃,西南风,3-4级
23日17时,小雨,31℃,西南风,<3级
23日20时,多云,31℃,东南风,3-4级
23日23时,多云,27℃,南风,3-4级
24日02时,多云,28℃,南风,3-4级
24日05时,多云,25℃,南风,<3级
24日08时,晴,31℃,南风,<3级
24日11时,多云,31℃,东北风,<3级
24日14时,多云,34℃,南风,<3级
24日17时,多云,31℃,东北风,3-4级
24日20时,多云,31℃,东南风,<3级
24日23时,晴,27℃,东南风,<3级
25日02时,多云,29℃,东南风,<3级
25日05时,多云,27℃,东南风,<3级
25日08时,多云,30℃,南风,<3级
25日11时,多云,31℃,东南风,3-4级
25日14时,多云,33℃,南风,<3级
25日17时,多云,30℃,东南风,3-4级
25日20时,多云,30℃,东南风,<3级
25日23时,多云,27℃,东南风,3-4级
26日02时,阴,29℃,南风,<3级
26日05时,多云,26℃,东南风,3-4级
26日08时,多云,29℃,南风,<3级
26日11时,中雨,30℃,东南风,<3级
26日14时,多云,32℃,东南风,<3级
26日17时,中雨,29℃,东南风,<3级
26日20时,晴,28℃,东南风,<3级
26日23时,多云,27℃,东南风,<3级
27日02时,多云,27℃,东南风,<3级
27日05时,多云,26℃,东南风,<3级
27日08时,多云,30℃,东南风,<3级
27日14时,多云,30℃,东南风,3-4级
27日20时,多云,28℃,东南风,3-4级
28日02时,小雨,26℃,东南风,<3级
28日08时,小雨,28℃,东南风,3-4级
28日14时,中雨,28℃,东南风,3-4级
28日20时,中雨,26℃,东南风,3-4级
29日02时,中雨,26℃,东南风,4-5级
29日08时,暴雨,26℃,东南风,5-6级
29日14时,大雨,28℃,东南风,4-5级
29日20时,小雨,27℃,东南风,4-5级
30日02时,多云,27℃,南风,3-4级
30日08时,小雨,27℃,东南风,<3级
30日14时,阴,29℃,东南风,3-4级
30日20时,阴,27℃,东南风,3-4级
31日02时,阴,27℃,东南风,3-4级
